run_file,value,mean_abs_error_db,correction_factor,elapsed_s
run_01_iterations_1.mat,1,6.958415,1.002878,0.226
run_02_iterations_10.mat,10,5.334866,1.000959,1.215
run_03_iterations_100.mat,100,2.940180,1.000372,12.213
run_04_iterations_250.mat,250,2.112152,1.000279,30.910
run_05_iterations_500.mat,500,1.661024,1.000493,59.319
run_06_iterations_1000.mat,1000,1.554048,1.000409,118.988
run_07_iterations_5000.mat,5000,1.426552,1.000385,590.691
run_08_iterations_10000.mat,10000,1.366247,1.000392,1051.084
run_09_iterations_20000.mat,20000,1.437095,1.000411,2099.659
