run_file,value,mean_abs_error_db,correction_factor,elapsed_s
run_01_lpf_cutoff_1000.mat,1000,1.359519,1.003147,11.443
run_02_lpf_cutoff_5000.mat,5000,1.045953,1.002447,11.294
run_03_lpf_cutoff_10000.mat,10000,1.065387,1.002685,11.240
run_04_lpf_cutoff_25000.mat,25000,1.013057,1.002644,11.141
run_05_lpf_cutoff_50000.mat,50000,0.664432,1.002441,11.571
run_06_lpf_cutoff_75000.mat,75000,1.358531,1.002254,11.311
run_07_lpf_cutoff_100000.mat,100000,0.770257,1.002885,11.468
run_08_lpf_cutoff_200000.mat,200000,1.526132,1.002810,11.006
run_09_lpf_cutoff_300000.mat,300000,2.475921,1.003272,11.083
