run_file,value,mean_abs_error_db,correction_factor,elapsed_s
run_01_rms_ref_0p01.mat,0.01,1.462986,1.002503,11.109
run_02_rms_ref_0p02.mat,0.02,1.497891,1.002343,11.024
run_03_rms_ref_0p05.mat,0.05,1.603076,1.002248,10.977
run_04_rms_ref_0p1.mat,0.1,3.788310,1.003926,10.776
run_05_rms_ref_0p2.mat,0.2,4.862625,1.004530,10.805
run_06_rms_ref_0p5.mat,0.5,9.517614,1.034367,11.499
